City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,sisimiut,66.9395,-53.6735,50.85,78,51,1.61,GL,1692675793
152,sitka,57.0531,-135.33,62.49,72,0,14.97,US,1692675794
153,yaren,-0.5472,166.916,83.16,73,100,9.01,NR,1692675794
154,khuzdar,27.7384,66.6434,85.69,31,9,2.55,PK,1692675794
155,stephenville,32.2207,-98.2023,92.25,37,0,5.75,US,1692675794
156,saint-leu,-21.15,55.2833,68.95,84,3,8.03,RE,1692675794
157,dunedin,-45.8742,170.5036,55.08,42,37,4.0,NZ,1692675794
158,ceeldheer,3.8488,47.1806,78.42,83,20,15.32,SO,1692675794
159,nong bua lamphu,17.2041,102.4407,81.88,71,100,2.44,TH,1692675794
160,medicine hat,50.0501,-110.6683,63.59,94,100,5.75,CA,1692675795
161,papatowai,-46.5619,169.4708,52.43,56,13,2.42,NZ,1692675795
162,impfondo,1.6381,18.0667,69.78,97,66,2.19,CG,1692675795
163,sheridan,44.8333,-106.9173,73.78,73,0,0.0,US,1692675795
164,chibougamau,49.9168,-74.3659,51.42,71,0,5.75,CA,1692675795
165,haeju,38.0406,125.7147,78.76,91,100,20.89,KP,1692675795
166,jiayuguan,39.8167,98.3,80.08,12,100,16.91,CN,1692675796
167,bilibino,68.0546,166.4372,51.75,49,78,11.14,RU,1692675796
168,charters towers,-20.1,146.2667,80.08,29,0,8.25,AU,1692675796
169,tulun,54.5611,100.5792,65.16,57,91,0.76,RU,1692675796
170,porto velho,-8.7619,-63.9039,82.45,78,0,3.44,BR,1692675633
171,meadow lake,34.8014,-106.5436,78.48,48,47,13.33,US,1692675796
172,palmas,-10.2128,-48.3603,76.87,61,0,1.14,BR,1692675633
173,highfields,-27.4518,151.9463,69.37,54,1,7.09,AU,1692675797
174,fortuna,40.5982,-124.1573,61.14,90,100,1.99,US,1692675503
175,saint-francois,46.4154,3.9054,69.67,94,2,0.0,FR,1692675797
176,stanley,54.868,-1.6985,59.79,90,0,9.22,GB,1692675797
177,nanao,37.05,136.9667,98.19,60,100,6.02,JP,1692675797
178,gadzhiyevo,69.2551,33.3362,47.91,92,100,6.98,RU,1692675797
179,bireun,5.203,96.7009,85.73,65,76,5.08,ID,1692675798
180,egilsstadir,65.2653,-14.3948,44.51,81,75,9.22,IS,1692675798
181,bowen,-20.0167,148.2333,73.49,62,46,13.8,AU,1692675798
182,balcarce,-37.8462,-58.2552,48.81,98,100,1.99,AR,1692675798
183,vallenar,-28.5708,-70.7581,60.73,45,0,1.05,CL,1692675798
184,broome,42.2506,-75.833,61.65,88,100,4.25,US,1692675799
185,codrington,-38.2667,141.9667,52.92,71,77,12.93,AU,1692675799
186,san juan del sur,11.2529,-85.8705,80.49,80,100,13.65,NI,1692675799
187,gulf shores,30.246,-87.7008,87.08,72,0,4.61,US,1692675799
188,alice springs,-23.7,133.8833,76.55,16,0,9.22,AU,1692675799
189,keflavik,64.0049,-22.5624,45.03,87,20,5.75,IS,1692675799
190,arteche,12.2645,125.4048,85.95,74,96,1.48,PH,1692675800
191,talnakh,69.4865,88.3972,58.21,81,100,3.69,RU,1692675800
192,tolanaro,-25.0319,46.9987,69.87,94,40,16.11,MG,1692675800
193,arkalyk,50.2486,66.9114,77.92,36,18,2.04,KZ,1692675800
194,chabua,27.4825,95.1736,76.95,94,100,3.44,IN,1692675800
195,kidal,18.4411,1.4078,84.88,44,80,18.99,ML,1692675800
196,saldanha,-33.0117,17.9442,55.45,90,37,14.45,ZA,1692675801
197,vrontados,38.4089,26.1328,82.26,47,0,19.57,GR,1692675801
198,lakatoro,-16.0999,167.4164,76.5,80,51,15.82,VU,1692675801
199,shchuchinsk,52.9333,70.2,69.04,55,25,10.11,KZ,1692675801
200,saudarkrokur,65.7461,-19.6394,40.3,85,79,0.98,IS,1692675801
201,fort bragg,35.139,-79.006,81.95,73,0,3.44,US,1692675801
202,el carmen,8.5106,-73.4478,69.64,100,100,1.92,CO,1692675802
203,tarawa,1.419,172.984,87.89,70,20,6.91,KI,1692675802
204,luga,58.7372,29.8453,58.8,96,99,0.94,RU,1692675802
205,kailua-kona,19.6406,-155.9956,84.16,85,100,10.36,US,1692675802
206,krasnoarmeyskoye,52.7182,50.0322,62.04,78,100,8.57,RU,1692675802
207,hiratacho,35.4333,132.8167,93.22,62,40,6.91,JP,1692675802
208,timbuktu,16.7735,-3.0074,88.65,43,99,7.63,ML,1692675803
209,grebenskaya,43.5317,46.3733,79.09,48,9,6.69,RU,1692675803
210,vernon,50.2581,-119.2691,72.61,62,100,9.22,CA,1692675717
211,puerto baquerizo moreno,-0.9,-89.6,74.8,77,73,8.86,EC,1692675803
212,zavodskoy,43.4597,132.2922,78.39,94,75,11.18,RU,1692675803
213,port saint john's,-31.6229,29.5448,62.31,79,69,4.43,ZA,1692675803
214,shendi,16.6915,33.4341,84.15,56,100,21.16,SD,1692675803
215,natal,-5.795,-35.2094,75.42,100,40,4.61,BR,1692675804
216,koubia,11.5833,-11.9,67.41,99,100,0.47,GN,1692675804
217,troitsko-pechorsk,62.7084,56.1964,46.22,91,100,2.91,RU,1692675804
218,shakhun'ya,57.6758,46.6114,52.57,70,82,5.3,RU,1692675804
219,mount gambier,-37.8333,140.7667,53.92,53,53,8.7,AU,1692675804
220,bonthe,7.5264,-12.505,76.3,91,100,1.36,SL,1692675804
221,muisne,0.6,-80.0333,77.25,84,100,7.38,EC,1692675805
222,uturoa,-16.7333,-151.4333,75.88,72,7,17.0,PF,1692675805
223,chongju,39.6933,125.2103,72.9,99,100,6.96,KP,1692675805
224,olyokminsk,60.3736,120.4264,66.4,41,25,6.13,RU,1692675805
225,novoagansk,61.9449,76.6625,51.78,76,100,8.59,RU,1692675805
226,kigoma,-4.8769,29.6267,75.45,52,4,6.29,TZ,1692675805
227,kratie,12.4881,106.0188,87.42,66,81,7.4,KH,1692675806
228,khategaon,22.6,76.9167,78.1,85,100,8.19,IN,1692675806
229,villa gesell,-37.2639,-56.973,50.05,93,100,9.6,AR,1692675806
230,whitehorse,60.7161,-135.0538,70.57,35,20,5.75,CA,1692675806
231,medford,42.3265,-122.8756,80.33,49,40,10.36,US,1692675554
232,jiuquan,39.7432,98.5174,82.85,11,99,15.5,CN,1692675806
233,lunglei,22.8833,92.7333,68.5,99,100,1.19,IN,1692675806
234,colonia,50.9333,6.95,66.96,86,0,2.3,DE,1692675720
235,mezhova,48.2532,36.7347,66.11,72,0,4.72,UA,1692675807
236,vilyuchinsk,52.9306,158.4028,77.27,55,32,12.71,RU,1692675807
237,nova sintra,14.8667,-24.7167,75.74,77,88,6.04,CV,1692675807
238,santa rita,-7.1139,-34.9781,74.07,94,0,3.44,BR,1692675807
239,port alfred,-33.5906,26.891,55.11,79,3,5.53,ZA,1692675807
240,antsiranana,-12.2787,49.2917,70.56,83,20,11.5,MG,1692675808
241,la ronge,55.1001,-105.2842,61.05,63,40,0.0,CA,1692675808
242,okhotsk,59.3833,143.3,60.98,79,99,10.36,RU,1692675808
243,yerofey pavlovich,53.9667,121.9667,70.2,35,100,10.04,RU,1692675808
244,plastun,44.7561,136.2939,81.34,74,90,7.58,RU,1692675808
245,talcahuano,-36.7167,-73.1167,49.68,93,100,3.44,CL,1692675808
246,beruniy,41.6911,60.7525,75.16,57,0,6.91,UZ,1692675809
247,suez,29.9737,32.5263,71.92,80,0,8.05,EG,1692675809
248,tual,-5.6667,132.75,77.77,84,23,19.06,ID,1692675809
